TOTAL_VARIABLES,ALTERNATIONS,EX_TIME_SECONDS,DENOT_IS_INCOMPLETE_RESULT,DENOT_TOT_ITERATIONS,DENOT_EX_TIME_SECONDS,DENOT_TOT_PATHS,DENOT_TOT_REACH_CALLS,DENOT_MAX_ITERATIONS,DENOT_RESULT,TOTAL_STATES,TOTAL_INIT_STATES,TOTAL_ACCEPTING_STATES,TOTAL_EDGES,TOTAL_PATCHES,MAX_PATCHES,NFA_MAX_REC_DEPTH,TOTAL_SCC,AUTOMATON_EX_TIME_SECONDS,TRANSLATION_OPT_LEVEL,TRANSLATION_EX_TIME_SECONDS,TRANSLATION_TOTAL_STATES,TRANSLATION_TOTAL_INIT_STATES,TRANSLATION_TOTAL_EDGES,TRANSLATION_TOTAL_SCC
5,9,5.4567597,0,44,5.377127,2,76,100000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -33 & d >= 0 & 5*d - 5*c + 5*b >= -131 & 5*d + 5*c + 5*b - 5*a >= -97 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -91 & -d + c - b + a >= -31 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -91 & d - c + b - a > -1 & d >= 0 } ),46,4,2,86,46,1,93,37,0.012775,High,0.010839,24,1,68,13
5,10,6.0733549,0,48,5.982409,2,83,100000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -91 & -d + c - b + a >= -31 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -91 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -29 & d - c + b >= -23 & d >= 0 & d + c + b - a >= -17 } ),50,4,2,94,50,1,101,40,0.018934,High,0.016822,26,1,74,14
6,1,280.7380277,0,12,280.666498,2,20,100000,( { t = 0 & -e + d - c + b - a >= -59 & -e + d - c + b >= -49 & -e + d + c + b - a >= -39 & -e + d + c + b >= -29 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -39 & d - c + b >= -29 & d >= 0 & d + c + b - a >= -19 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -57 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -113 & 3*e + 3*d + 3*c - 3*b + 3*a >= -113 } ),14,4,2,22,14,1,29,13,0.004778,High,0.004010,8,1,20,5
6,2,352.2598686,0,16,352.175197,2,27,100000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -57 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -113 & 3*e + 3*d + 3*c - 3*b + 3*a >= -113 } { t = 0 & -3*e + 3*d - 3*c + 3*b >= -137 & -3*e + 3*d + 3*c + 3*b - 3*a >= -109 & -e + d - c + b - a >= -55 & -e + d + c + b >= -27 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -27 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -109 & 3*d + 3*c + 3*b - 3*a >= -53 & e - d + c - b + a > -1 & e >= 0 } ),18,4,2,30,18,1,37,16,0.005971,High,0.004917,10,1,26,6
6,3,446.4902714,0,20,446.411714,2,34,100000,( { t = 0 & -3*e + 3*d - 3*c + 3*b >= -137 & -3*e + 3*d + 3*c + 3*b - 3*a >= -109 & -e + d - c + b - a >= -55 & -e + d + c + b >= -27 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -27 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -109 & 3*d + 3*c + 3*b - 3*a >= -53 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -53 & e - d + c + b + a >= -35 & e >= 0 & e + d + c - b + a >= -35 } ),22,4,2,38,22,1,45,19,0.007019,High,0.005838,12,1,32,7
6,4,514.777826,0,24,514.698907,2,41,100000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -53 & e - d + c + b + a >= -35 & e >= 0 & e + d + c - b + a >= -35 } { t = 0 & -3*e + 3*d - 3*c + 3*b >= -127 & -3*e + 3*d + 3*c + 3*b - 3*a >= -101 & -e + d - c + b - a >= -51 & -e + d + c + b >= -25 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -25 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -101 & 3*d + 3*c + 3*b - 3*a >= -49 & e - d + c - b + a > -1 & e >= 0 } ),26,4,2,46,26,1,53,22,0.008453,High,0.007023,14,1,38,8
6,5,634.8786613,0,28,634.804494,2,48,100000,( { t = 0 & -3*e + 3*d - 3*c + 3*b >= -127 & -3*e + 3*d + 3*c + 3*b - 3*a >= -101 & -e + d - c + b - a >= -51 & -e + d + c + b >= -25 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -25 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -101 & 3*d + 3*c + 3*b - 3*a >= -49 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -49 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -97 & 3*e + 3*d + 3*c - 3*b + 3*a >= -97 } ),30,4,2,54,30,1,61,25,0.009446,High,0.007825,16,1,44,9
6,6,706.2067462,0,32,706.109081,2,55,100000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -49 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -97 & 3*e + 3*d + 3*c - 3*b + 3*a >= -97 } { t = 0 & -e + d - c + b - a >= -47 & -e + d - c + b >= -39 & -e + d + c + b - a >= -31 & -e + d + c + b >= -23 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -31 & d - c + b >= -23 & d >= 0 & d + c + b - a >= -15 & e - d + c - b + a > -1 & e >= 0 } ),34,4,2,62,34,1,69,28,0.010354,High,0.008518,18,1,50,10
6,7,922.1102658,0,36,922.016620,2,62,100000,( { t = 0 & -e + d - c + b - a >= -47 & -e + d - c + b >= -39 & -e + d + c + b - a >= -31 & -e + d + c + b >= -23 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -31 & d - c + b >= -23 & d >= 0 & d + c + b - a >= -15 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -45 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -89 & 3*e + 3*d + 3*c - 3*b + 3*a >= -89 } ),38,4,2,70,38,1,77,31,0.011173,High,0.009195,20,1,56,11
6,8,1015.9956858,0,40,1015.888955,2,69,100000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -45 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -89 & 3*e + 3*d + 3*c - 3*b + 3*a >= -89 } { t = 0 & -3*e + 3*d - 3*c + 3*b >= -107 & -3*e + 3*d + 3*c + 3*b - 3*a >= -85 & -e + d - c + b - a >= -43 & -e + d + c + b >= -21 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -21 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -85 & 3*d + 3*c + 3*b - 3*a >= -41 & e - d + c - b + a > -1 & e >= 0 } ),42,4,2,78,42,1,85,34,0.012462,High,0.010197,22,1,62,12
6,9,1073.5008485,0,44,1073.404825,2,76,100000,( { t = 0 & -3*e + 3*d - 3*c + 3*b >= -107 & -3*e + 3*d + 3*c + 3*b - 3*a >= -85 & -e + d - c + b - a >= -43 & -e + d + c + b >= -21 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -21 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -85 & 3*d + 3*c + 3*b - 3*a >= -41 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -41 & e - d + c + b + a >= -27 & e >= 0 & e + d + c - b + a >= -27 } ),46,4,2,86,46,1,93,37,0.013169,High,0.010807,24,1,68,13
6,10,1158.4987178,0,48,1158.390839,2,83,100000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -41 & e - d + c + b + a >= -27 & e >= 0 & e + d + c - b + a >= -27 } { t = 0 & -3*e + 3*d - 3*c + 3*b >= -97 & -3*e + 3*d + 3*c + 3*b - 3*a >= -77 & -e + d - c + b - a >= -39 & -e + d + c + b >= -19 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -19 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -77 & 3*d + 3*c + 3*b - 3*a >= -37 & e - d + c - b + a > -1 & e >= 0 } ),50,4,2,94,50,1,101,40,0.014171,High,0.011609,26,1,74,14
