permutation|permutationMap|result|denot total iterations
39|{232: 0, 237: 10, 236: 237, 10: 2, 233: 236, 2: 11, 0: 233, 11: 3, 242: 242, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|2225
40|{232: 0, 237: 10, 236: 232, 10: 2, 233: 233, 2: 242, 0: 3, 11: 237, 242: 11, 3: 236}|( )|700
41|{232: 237, 237: 11, 236: 0, 10: 242, 233: 233, 2: 2, 0: 236, 11: 3, 242: 232, 3: 10}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|487
42|{232: 3, 237: 242, 236: 233, 10: 2, 233: 11, 2: 0, 0: 237, 11: 232, 242: 236, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|20
43|{232: 3, 237: 0, 236: 11, 10: 10, 233: 232, 2: 2, 0: 233, 11: 242, 242: 237, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|46
44|{232: 2, 237: 236, 236: 233, 10: 232, 233: 10, 2: 237, 0: 242, 11: 3, 242: 0, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|737
45|{232: 233, 237: 10, 236: 232, 10: 242, 233: 3, 2: 0, 0: 236, 11: 237, 242: 2, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|744
46|{232: 11, 237: 236, 236: 237, 10: 242, 233: 232, 2: 2, 0: 3, 11: 233, 242: 10, 3: 0}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|484
47|{232: 232, 237: 2, 236: 237, 10: 11, 233: 242, 2: 0, 0: 236, 11: 10, 242: 3, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & a - b = 1 & a >= 1 } )|250
48|{232: 11, 237: 232, 236: 242, 10: 2, 233: 236, 2: 10, 0: 0, 11: 3, 242: 233, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|478
49|{232: 237, 237: 232, 236: 242, 10: 2, 233: 10, 2: 233, 0: 236, 11: 3, 242: 11, 3: 0}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|512
50|{232: 0, 237: 242, 236: 10, 10: 233, 233: 3, 2: 237, 0: 232, 11: 236, 242: 11, 3: 2}|( { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } )|724
51|{232: 232, 237: 3, 236: 11, 10: 0, 233: 242, 2: 10, 0: 2, 11: 236, 242: 233, 3: 237}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|246
52|{232: 0, 237: 2, 236: 233, 10: 10, 233: 237, 2: 242, 0: 232, 11: 236, 242: 3, 3: 11}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -181 & a >= 0 } )|32
53|{232: 232, 237: 237, 236: 0, 10: 242, 233: 233, 2: 3, 0: 2, 11: 11, 242: 236, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|744
